id,energy_star_rating,backfilled_energy_star_rating
240,82.0,82.0
241,73.0,73.0
242,,80.0
243,86.0,86.0
244,95.0,95.0
245,70.0,70.0
246,27.0,27.0
247,99.0,99.0
248,98.0,98.0
249,97.0,97.0
250,93.0,93.0
251,81.0,81.0
252,82.0,82.0
253,,
254,97.0,97.0
255,,64.0
256,,91.33333333333333
257,91.0,91.0
258,76.0,76.0
259,84.0,84.0
260,90.0,90.0
261,87.0,87.0
262,83.0,83.0
263,46.0,46.0
264,74.0,74.0
265,42.0,42.0
266,88.0,88.0
267,76.0,76.0
268,55.0,55.0
269,46.0,46.0
270,41.0,41.0
271,79.0,79.0
272,13.0,13.0
273,38.0,38.0
274,,87.66666666666667
275,10.0,10.0
276,48.0,48.0
277,33.0,33.0
278,14.0,14.0
279,,
280,,81.0
281,,66.0
282,,
283,99.0,99.0
284,10.0,10.0
285,70.0,70.0
286,63.0,63.0
287,69.0,69.0
288,27.0,27.0
289,,95.0
290,,73.375
291,73.0,73.0
292,,83.0
293,94.0,94.0
294,71.0,71.0
295,,74.9090909090909
296,88.0,88.0
297,100.0,100.0
298,93.0,93.0
299,,87.5
300,84.0,84.0
301,92.0,92.0
302,94.0,94.0
303,89.0,89.0
304,76.0,76.0
305,87.0,87.0
306,90.0,90.0
307,93.0,93.0
308,53.0,53.0
309,79.0,79.0
310,84.0,84.0
311,94.0,94.0
312,89.0,89.0
313,87.0,87.0
314,79.0,79.0
315,79.0,79.0
316,84.0,84.0
317,95.0,95.0
318,82.0,82.0
319,89.0,89.0
320,82.0,82.0
321,75.0,75.0
322,91.0,91.0
323,60.0,60.0
324,59.0,59.0
325,80.0,80.0
326,85.0,85.0
327,88.0,88.0
328,66.0,66.0
329,80.0,80.0
330,57.0,57.0
331,84.0,84.0
332,78.0,78.0
333,58.0,58.0
334,82.0,82.0
335,83.0,83.0
336,74.0,74.0
337,78.0,78.0
338,41.0,41.0
339,44.0,44.0
340,96.0,96.0
341,61.0,61.0
342,55.0,55.0
343,38.0,38.0
344,95.0,95.0
345,85.0,85.0
346,79.0,79.0
347,77.0,77.0
348,51.0,51.0
349,56.0,56.0
350,57.0,57.0
351,91.0,91.0
352,95.0,95.0
354,,
355,58.0,58.0
356,75.0,75.0
357,,63.6
358,,
359,,
360,,
361,,
362,,
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,,
373,,
374,,
375,,
376,,
377,,
378,,
379,,
380,,
381,,
382,,
383,,
384,,
385,,
386,,
387,,
388,,
389,,
390,,
391,,
392,,
393,,
394,,
395,,
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,100.0,100.0
405,61.0,61.0
406,35.0,35.0
407,74.0,74.0
408,,82.0
409,,
410,,83.66666666666667
411,98.0,98.0
412,80.0,80.0
413,,64.25
414,,82.42857142857143
415,67.0,67.0
416,95.0,95.0
417,87.0,87.0
418,59.0,59.0
419,90.0,90.0
420,39.0,39.0
421,,78.0
422,,55.5
423,63.0,63.0
424,61.0,61.0
425,3.0,3.0
426,75.0,75.0
427,59.0,59.0
428,90.0,90.0
429,96.0,96.0
430,78.0,78.0
431,100.0,100.0
432,78.0,78.0
433,7.0,7.0
434,24.0,24.0
435,,69.33333333333333
436,,72.33333333333333
437,27.0,27.0
438,,82.78947368421052
439,96.0,96.0
440,,82.0
441,43.0,43.0
442,31.0,31.0
443,87.0,87.0
444,71.0,71.0
445,4.0,4.0
446,82.0,82.0
447,,37.0
448,36.0,36.0
449,,82.0
450,95.0,95.0
451,,80.63636363636364
452,60.0,60.0
453,95.0,95.0
454,,73.5
455,49.0,49.0
456,,73.5
457,,73.5
458,,
459,,76.0
460,94.0,94.0
461,58.0,58.0
462,,32.0
463,17.0,17.0
464,96.0,96.0
465,,72.33333333333333
466,,99.0
467,,73.11538461538461
468,,72.27272727272727
469,98.0,98.0
470,51.0,51.0
471,,76.0
472,,78.0
473,86.0,86.0
474,93.0,93.0
475,74.0,74.0
476,90.0,90.0
477,89.0,89.0
478,,
479,82.0,82.0
480,,73.11538461538461
481,88.0,88.0
482,98.0,98.0
483,64.0,64.0
484,88.0,88.0
485,75.0,75.0
486,92.0,92.0
487,87.0,87.0
488,74.0,74.0
489,,
490,,
491,92.0,92.0
492,82.0,82.0
493,4.0,4.0
494,51.0,51.0
495,81.0,81.0
496,4.0,4.0
497,,69.375
498,,73.11538461538461
499,88.0,88.0
500,,
501,,76.0
502,96.0,96.0
503,95.0,95.0
504,96.0,96.0
505,,87.5
506,,88.0
507,,82.0
508,73.0,73.0
509,88.0,88.0
510,86.0,86.0
511,13.0,13.0
512,70.0,70.0
513,,92.33333333333333
514,77.0,77.0
515,,66.5
516,66.0,66.0
517,79.0,79.0
518,63.0,63.0
519,75.0,75.0
520,,96.0
521,63.0,63.0
522,91.0,91.0
523,,
524,0.0,0.0
525,,86.0
526,,69.375
527,94.0,94.0
528,,76.0
529,87.0,87.0
530,,87.4
531,84.0,84.0
532,55.0,55.0
533,89.0,89.0
534,80.0,80.0
535,76.0,76.0
536,85.0,85.0
537,89.0,89.0
538,83.0,83.0
539,92.0,92.0
540,90.0,90.0
541,91.0,91.0
542,81.0,81.0
543,14.0,14.0
544,88.0,88.0
545,82.0,82.0
546,71.0,71.0
547,81.0,81.0
548,88.0,88.0
549,74.0,74.0
550,95.0,95.0
551,91.0,91.0
552,,73.11538461538461
553,93.0,93.0
554,96.0,96.0
555,93.0,93.0
556,,82.78947368421052
557,97.0,97.0
558,,78.0
559,,85.5
560,95.0,95.0
561,86.0,86.0
562,84.0,84.0
563,96.0,96.0
564,84.0,84.0
565,90.0,90.0
566,86.0,86.0
567,94.0,94.0
568,95.0,95.0
569,95.0,95.0
570,,82.42857142857143
571,94.0,94.0
572,85.0,85.0
573,88.0,88.0
574,92.0,92.0
575,82.0,82.0
576,,78.0
577,92.0,92.0
578,85.0,85.0
579,,73.11538461538461
580,,82.0
581,96.0,96.0
582,67.0,67.0
583,93.0,93.0
584,70.0,70.0
585,86.0,86.0
586,90.0,90.0
587,90.0,90.0
588,89.0,89.0
589,93.0,93.0
590,79.0,79.0
591,86.0,86.0
592,91.0,91.0
593,86.0,86.0
594,,
595,93.0,93.0
596,89.0,89.0
597,96.0,96.0
598,90.0,90.0
599,84.0,84.0
600,93.0,93.0
601,59.0,59.0
602,80.0,80.0
603,,
604,84.0,84.0
605,1.0,1.0
606,,73.5
607,69.0,69.0
608,,73.11538461538461
609,96.0,96.0
610,90.0,90.0
611,89.0,89.0
612,94.0,94.0
613,86.0,86.0
614,80.0,80.0
615,91.0,91.0
616,78.0,78.0
617,,82.78947368421052
618,87.0,87.0
619,40.0,40.0
620,95.0,95.0
621,93.0,93.0
622,93.0,93.0
623,,67.875
624,87.0,87.0
625,99.0,99.0
626,98.0,98.0
627,79.0,79.0
628,93.0,93.0
629,77.0,77.0
630,91.0,91.0
631,97.0,97.0
632,82.0,82.0
633,97.0,97.0
634,65.0,65.0
635,38.0,38.0
636,92.0,92.0
637,92.0,92.0
638,86.0,86.0
639,86.0,86.0
640,89.0,89.0
641,83.0,83.0
642,83.0,83.0
643,95.0,95.0
644,74.0,74.0
645,86.0,86.0
646,,93.0
647,90.0,90.0
648,84.0,84.0
649,86.0,86.0
650,84.0,84.0
651,96.0,96.0
652,90.0,90.0
653,69.0,69.0
654,85.0,85.0
655,82.0,82.0
656,93.0,93.0
657,62.0,62.0
658,65.0,65.0
659,97.0,97.0
660,,72.5
661,69.0,69.0
662,56.0,56.0
663,96.0,96.0
664,,82.0
665,90.0,90.0
666,99.0,99.0
667,,73.5
668,72.0,72.0
669,,67.875
670,,85.0
671,,
672,,75.0
673,100.0,100.0
674,94.0,94.0
675,,78.0
676,96.0,96.0
677,66.0,66.0
678,88.0,88.0
679,86.0,86.0
680,,86.0
681,94.0,94.0
682,78.0,78.0
683,81.0,81.0
684,98.0,98.0
685,81.0,81.0
686,91.0,91.0
687,,82.42857142857143
688,80.0,80.0
689,100.0,100.0
690,97.0,97.0
691,65.0,65.0
692,97.0,97.0
693,,83.0
694,,72.5
695,40.0,40.0
696,,93.33333333333333
697,76.0,76.0
698,29.0,29.0
699,,67.57142857142857
700,,93.0
701,,
702,83.0,83.0
703,87.0,87.0
704,88.0,88.0
705,77.0,77.0
706,77.0,77.0
707,,85.0
708,,
709,,
710,,85.5
711,83.0,83.0
712,56.0,56.0
713,78.0,78.0
714,,78.0
715,42.0,42.0
716,,78.0
717,88.0,88.0
718,70.0,70.0
719,,82.78947368421052
720,81.0,81.0
721,90.0,90.0
722,38.0,38.0
723,,73.11538461538461
724,50.0,50.0
725,,78.0
726,82.0,82.0
727,65.0,65.0
728,,82.78947368421052
729,95.0,95.0
730,15.0,15.0
731,17.0,17.0
732,,82.78947368421052
733,56.0,56.0
734,60.0,60.0
735,67.0,67.0
736,99.0,99.0
737,80.0,80.0
738,91.0,91.0
739,98.0,98.0
740,3.0,3.0
741,94.0,94.0
742,49.0,49.0
743,,58.42857142857143
744,,73.11538461538461
745,84.0,84.0
746,93.0,93.0
747,96.0,96.0
748,59.0,59.0
749,86.0,86.0
750,88.0,88.0
751,97.0,97.0
752,96.0,96.0
753,97.0,97.0
754,,78.0
755,,78.0
756,80.0,80.0
757,85.0,85.0
758,96.0,96.0
759,12.0,12.0
760,74.0,74.0
761,81.0,81.0
762,95.0,95.0
763,,82.0
764,72.0,72.0
765,66.0,66.0
766,11.0,11.0
767,,67.875
768,99.0,99.0
769,99.0,99.0
770,97.0,97.0
771,63.0,63.0
772,,72.27272727272727
773,,67.875
774,60.0,60.0
775,77.0,77.0
776,63.0,63.0
777,11.0,11.0
778,,82.0
779,,82.0
780,,64.25
781,,78.0
782,94.0,94.0
783,55.0,55.0
784,97.0,97.0
785,,75.0
786,,76.0
787,,73.5
788,26.0,26.0
789,,85.5
790,,94.5
791,92.0,92.0
792,,3.0
793,,77.33333333333333
794,81.0,81.0
795,82.0,82.0
796,57.0,57.0
797,,73.5
798,57.0,57.0
799,65.0,65.0
800,,73.5
801,100.0,100.0
802,88.0,88.0
803,61.0,61.0
804,,76.0
805,,69.375
806,94.0,94.0
807,92.0,92.0
808,37.0,37.0
809,97.0,97.0
810,,
811,85.0,85.0
812,,87.66666666666667
813,94.0,94.0
814,72.0,72.0
815,81.0,81.0
816,87.0,87.0
817,85.0,85.0
818,91.0,91.0
819,88.0,88.0
820,59.0,59.0
821,,82.78947368421052
822,35.0,35.0
823,83.0,83.0
824,66.0,66.0
825,60.0,60.0
826,73.0,73.0
827,80.0,80.0
828,63.0,63.0
829,82.0,82.0
830,75.0,75.0
831,89.0,89.0
832,40.0,40.0
833,7.0,7.0
834,91.0,91.0
835,,99.0
836,79.0,79.0
837,,85.5
838,84.0,84.0
839,87.0,87.0
840,93.0,93.0
841,60.0,60.0
842,93.0,93.0
843,84.0,84.0
844,,73.11538461538461
845,95.0,95.0
846,,93.0
847,80.0,80.0
848,84.0,84.0
849,90.0,90.0
850,71.0,71.0
851,79.0,79.0
852,83.0,83.0
853,83.0,83.0
854,82.0,82.0
855,62.0,62.0
856,90.0,90.0
857,97.0,97.0
858,85.0,85.0
859,11.0,11.0
860,91.0,91.0
861,,82.42857142857143
862,74.0,74.0
863,13.0,13.0
864,84.0,84.0
865,70.0,70.0
866,88.0,88.0
867,91.0,91.0
868,91.0,91.0
869,92.0,92.0
870,85.0,85.0
871,59.0,59.0
872,37.0,37.0
873,82.0,82.0
874,99.0,99.0
875,32.0,32.0
876,78.0,78.0
877,86.0,86.0
878,,72.27272727272727
879,,76.33333333333333
880,70.0,70.0
881,,93.0
882,81.0,81.0
883,,72.27272727272727
884,15.0,15.0
885,61.0,61.0
886,100.0,100.0
887,,71.0
888,17.0,17.0
889,96.0,96.0
890,22.0,22.0
891,,90.0
892,,64.25
893,63.0,63.0
894,,
895,58.0,58.0
896,98.0,98.0
897,71.0,71.0
898,,
899,81.0,81.0
900,44.0,44.0
901,94.0,94.0
902,64.0,64.0
903,37.0,37.0
904,29.0,29.0
905,,66.5
906,43.0,43.0
907,48.0,48.0
908,34.0,34.0
909,43.0,43.0
910,64.0,64.0
911,52.0,52.0
912,63.0,63.0
913,99.0,99.0
914,,66.5
915,92.0,92.0
916,100.0,100.0
917,86.0,86.0
918,57.0,57.0
919,,53.5
920,95.0,95.0
921,80.0,80.0
922,84.0,84.0
923,1.0,1.0
924,,
925,,67.57142857142857
926,,99.0
927,46.0,46.0
928,93.0,93.0
929,98.0,98.0
930,14.0,14.0
931,89.0,89.0
932,62.0,62.0
933,99.0,99.0
934,91.0,91.0
935,100.0,100.0
936,99.0,99.0
937,,17.0
938,88.0,88.0
939,71.0,71.0
940,82.0,82.0
941,68.0,68.0
942,63.0,63.0
943,97.0,97.0
944,,61.0
945,41.0,41.0
946,,
947,,78.0
948,43.0,43.0
949,72.0,72.0
950,,
951,,74.75
952,76.0,76.0
953,55.0,55.0
954,69.0,69.0
956,77.0,77.0
957,61.0,61.0
958,95.0,95.0
959,73.0,73.0
960,100.0,100.0
961,72.0,72.0
962,89.0,89.0
963,52.0,52.0
964,13.0,13.0
965,97.0,97.0
966,,83.66666666666667
967,38.0,38.0
968,61.0,61.0
969,55.0,55.0
970,81.0,81.0
971,91.0,91.0
972,,75.0
973,50.0,50.0
974,81.0,81.0
975,5.0,5.0
976,,72.27272727272727
977,44.0,44.0
978,,
979,,
980,,
981,,
982,,
983,,
984,,
985,,
986,,
987,,
988,,
989,,
990,,
991,,
992,,
993,,
994,,
995,,
996,,
997,,
998,,
999,,
1000,,
1001,,
1002,,
1003,,
1004,,
1005,,
1006,,
1007,,
1008,,
1009,,
1010,,
1011,,
1012,,
1013,,
1014,,
1015,,
1016,,
1017,,
1018,,
1019,,
1020,,
1021,,
1022,,
1023,,
1024,,
1025,,
1026,,
1027,,
1028,,
1029,,
1030,,
1031,,
1032,,
1033,,
1034,,
1035,,
1036,,
1037,,
1038,,
1039,,
1040,,
1041,,
1042,,
1043,,
1044,,
1045,,
1046,,
1047,,
1048,,
1049,,
1050,,
1051,,
1052,,
1053,,
1054,,
1055,,
1056,,
1057,,
1058,,
1059,,
1060,,
1061,,
1062,,
1063,,
1064,,
1065,,
1066,,
1067,,
1068,,
1069,,
1070,,
1071,,
1072,,
1073,,
1074,,
1075,,
1076,,
1077,,
1078,,
1079,,
1080,,
1081,,
1082,,
1083,,
1084,,
1085,,
1086,,
1087,,
1088,,
1089,,
1090,,
1091,,
1092,,
1093,,
1094,,
1095,,
1096,,
1097,,
1098,,
1099,,
1100,,
1101,,
1102,,
1103,,
1104,,
1105,,
1106,,
1107,,
1108,,
1109,,
1110,,
1111,,
1112,,
1113,,
1114,,
1115,,
1116,,
1117,,
1118,,
1119,,
1120,,
1121,,
1122,,
1123,,
1124,,
1125,,
1126,,
1127,,
1128,,
1129,,
1130,,
1131,,
1132,,
1133,,
1134,,
1135,,
1136,,
1137,,
1138,,
1139,,
1140,,
1141,,
1142,,
1143,,
1144,,
1145,,
1146,,
1147,,
1148,,
1149,,
1150,,
1151,,
1152,,
1153,,
1154,,
1155,,
1156,,
1157,,
1158,,
1159,,
1160,,
1161,,
1162,,
1163,,
1164,,
1165,,
1166,,
1167,,
1168,,
1169,,
1170,,
1171,,
1172,,
1173,,
1174,,
1175,,
1176,,
1177,,
1178,,
1179,,
1180,,
1181,,
1182,,
1183,,
1184,,
1185,,
1186,,
1187,,
1188,,
1189,,
1190,,
1191,,
1192,,
1193,,
1194,,
1195,,
1196,,
1197,,
1198,,
1199,,
1200,,
1201,,
1202,,
1203,,
1204,,
1205,,
1206,,
1207,,
1208,,
1209,,
1210,,
1211,,
1212,,
1213,,
1214,,
1215,,
1216,,
1217,,
1218,,
1219,,
1220,,
1221,,
1222,,
1223,,
1224,,
1225,,
1226,,
1227,,
1228,,
1229,,
1230,,
1231,,
1232,,
1233,,
1234,,
1235,33.0,33.0
1236,16.0,16.0
1237,,74.0
1238,71.0,71.0
1239,83.0,83.0
1240,95.0,95.0
1241,,70.66666666666667
1242,,79.07692307692308
1243,,
1244,,70.0
1245,88.0,88.0
1246,94.0,94.0
1247,,87.0
1248,42.0,42.0
1249,89.0,89.0
1250,70.0,70.0
1251,68.0,68.0
1252,,70.0
1253,,64.6
1254,,76.25
1255,39.0,39.0
1256,26.0,26.0
1257,99.0,99.0
1258,58.0,58.0
1259,,71.54545454545455
1260,,63.6
1261,92.0,92.0
1262,100.0,100.0
1263,86.0,86.0
1264,46.0,46.0
1265,74.0,74.0
1266,73.0,73.0
1267,,68.25
1268,,64.33333333333333
1269,1.0,1.0
1270,95.0,95.0
1271,77.0,77.0
1272,64.0,64.0
1273,,71.42857142857143
1274,30.0,30.0
1275,47.0,47.0
1276,97.0,97.0
1277,,76.875
1278,,71.54545454545455
1279,,73.81818181818181
1280,9.0,9.0
1281,,
1282,96.0,96.0
1283,56.0,56.0
1284,75.0,75.0
1285,79.0,79.0
1286,,94.0
1287,,95.5
1288,,100.0
1289,61.0,61.0
1290,98.0,98.0
1291,19.0,19.0
1292,85.0,85.0
1293,68.0,68.0
1294,99.0,99.0
1295,86.0,86.0
1296,65.0,65.0
1297,86.0,86.0
1298,100.0,100.0
1299,60.0,60.0
1300,100.0,100.0
1301,50.0,50.0
1302,97.0,97.0
1303,,74.85714285714286
1304,90.0,90.0
1305,,17.0
1306,87.0,87.0
1307,,
1308,36.0,36.0
1309,73.0,73.0
1310,70.0,70.0
1311,,
1312,,
1313,,
1314,,
1315,,
1316,,
1317,47.0,47.0
1318,66.0,66.0
1319,91.0,91.0
1320,,75.0
1321,95.0,95.0
1322,,57.2
1323,,59.0
1324,,
1325,35.0,35.0
1326,,79.07692307692308
1327,86.0,86.0
1328,85.0,85.0
1329,95.0,95.0
1330,,34.5
1331,90.0,90.0
1332,94.0,94.0
1333,,51.55555555555556
1334,75.0,75.0
1335,,70.66666666666667
1336,,80.125
1337,,62.333333333333336
1338,,70.45454545454545
1339,,70.66666666666667
1340,75.0,75.0
1341,82.0,82.0
1342,82.0,82.0
1343,47.0,47.0
1344,85.0,85.0
1345,,64.6
1346,80.0,80.0
1347,51.0,51.0
1348,68.0,68.0
1349,62.0,62.0
1350,63.0,63.0
1351,95.0,95.0
1352,99.0,99.0
1353,93.0,93.0
1354,,91.0
1355,85.0,85.0
1356,100.0,100.0
1357,,67.53333333333333
1358,,78.0
1359,,69.12962962962963
1360,,48.4
1361,99.0,99.0
1362,,51.55555555555556
1363,,51.55555555555556
1364,,73.25
1365,,94.0
1366,98.0,98.0
1367,74.0,74.0
1368,,89.0
1369,,86.375
1370,,69.12962962962963
1371,,82.4
1372,94.0,94.0
1373,23.0,23.0
1374,2.0,2.0
1375,,74.42857142857143
1376,36.0,36.0
1377,,94.0
1378,,80.125
1379,97.0,97.0
1380,,82.0
1381,49.0,49.0
1382,44.0,44.0
1383,90.0,90.0
1384,65.0,65.0
1385,91.0,91.0
1386,,69.4
1387,83.0,83.0
1388,86.0,86.0
1389,,
1390,93.0,93.0
1391,69.0,69.0
1392,64.0,64.0
1393,,73.25
1394,100.0,100.0
1395,,77.3076923076923
1396,56.0,56.0
1397,,80.42857142857143
1398,97.0,97.0
1399,95.0,95.0
1400,96.0,96.0
1401,,
1402,47.0,47.0
1403,75.0,75.0
1404,99.0,99.0
1405,23.0,23.0
1406,,76.11764705882354
1407,,51.55555555555556
1408,72.0,72.0
1409,91.0,91.0
1410,73.0,73.0
1411,,64.6
1412,100.0,100.0
1413,56.0,56.0
1414,77.0,77.0
1415,98.0,98.0
1416,94.0,94.0
1417,21.0,21.0
1418,99.0,99.0
1419,91.0,91.0
1420,73.0,73.0
1421,83.0,83.0
1422,,76.875
1423,,86.375
1424,87.0,87.0
1425,52.0,52.0
1426,,64.6
1427,97.0,97.0
1428,,89.5
1429,,
1430,,71.42857142857143
1431,100.0,100.0
1432,,80.42857142857143
1433,32.0,32.0
1434,87.0,87.0
1435,,57.2
1436,95.0,95.0
1437,30.0,30.0
1438,85.0,85.0
1439,76.0,76.0
1440,76.0,76.0
1441,95.0,95.0
1442,69.0,69.0
1443,,75.0
1444,87.0,87.0
1445,77.0,77.0
1446,58.0,58.0
1447,78.0,78.0
1448,98.0,98.0
1449,86.0,86.0
1450,,70.9090909090909
1451,79.0,79.0
1452,100.0,100.0
1453,96.0,96.0
1454,1.0,1.0
1455,,70.66666666666667
1456,,91.0
1457,,80.125
1458,,62.333333333333336
1459,100.0,100.0
1460,,86.5
1461,,69.4
1462,,70.66666666666667
1463,50.0,50.0
1464,88.0,88.0
1465,,64.33333333333333
1466,,74.85714285714286
1467,,74.0
1468,81.0,81.0
1469,,73.8
1470,28.0,28.0
1471,49.0,49.0
1472,92.0,92.0
1473,,58.857142857142854
1474,55.0,55.0
1475,,76.875
1476,,76.875
1477,,76.875
1478,,76.875
1479,81.0,81.0
1480,,94.0
1481,,34.5
1482,,
1483,86.0,86.0
1484,,
1485,57.0,57.0
1486,38.0,38.0
1487,23.0,23.0
1488,96.0,96.0
1489,38.0,38.0
1490,82.0,82.0
1491,37.0,37.0
1492,62.0,62.0
1493,94.0,94.0
1494,82.0,82.0
1495,,77.3076923076923
1496,68.0,68.0
1497,97.0,97.0
1498,95.0,95.0
1499,,73.25
1500,50.0,50.0
1501,,66.6
1502,99.0,99.0
1503,,86.375
1504,,
1505,95.0,95.0
1506,100.0,100.0
1507,97.0,97.0
1508,7.0,7.0
1509,63.0,63.0
1510,,34.5
1511,17.0,17.0
1512,,86.375
1513,,86.375
1514,80.0,80.0
1515,,95.0
1516,66.0,66.0
1517,95.0,95.0
1518,,80.42857142857143
1519,92.0,92.0
1520,,57.0
1521,,76.25
1522,100.0,100.0
1523,76.0,76.0
1524,,69.12962962962963
1525,,70.66666666666667
1526,,66.8
1527,98.0,98.0
1528,57.0,57.0
1529,,73.25
1530,,70.45454545454545
1531,,52.333333333333336
1532,,78.0
1533,,70.25
1534,,51.55555555555556
1535,90.0,90.0
1536,,94.0
1537,59.0,59.0
1538,80.0,80.0
1539,,70.25
1540,95.0,95.0
1541,,64.6
1542,66.0,66.0
1543,73.0,73.0
1544,89.0,89.0
1545,96.0,96.0
1546,91.0,91.0
1547,,
1548,98.0,98.0
1549,,69.12962962962963
1550,,73.25
1551,18.0,18.0
1552,70.0,70.0
1553,63.0,63.0
1554,43.0,43.0
1555,88.0,88.0
1556,80.0,80.0
1557,90.0,90.0
1558,90.0,90.0
1559,55.0,55.0
1560,,
1561,84.0,84.0
1562,90.0,90.0
1563,92.0,92.0
1564,83.0,83.0
1565,6.0,6.0
1566,100.0,100.0
1567,97.0,97.0
1568,,86.375
1569,93.0,93.0
1570,,73.25
1571,57.0,57.0
1572,100.0,100.0
1573,92.0,92.0
1574,6.0,6.0
1575,,73.25
1576,,51.55555555555556
1577,,
1578,,92.5
1579,,91.0
1580,,78.0
1581,100.0,100.0
1582,,70.45454545454545
1583,,82.4
1584,95.0,95.0
1585,,48.4
1586,20.0,20.0
1587,62.0,62.0
1588,68.0,68.0
1589,95.0,95.0
1590,97.0,97.0
1591,,83.75
1592,,87.0
1593,,64.33333333333333
1594,58.0,58.0
1595,84.0,84.0
1596,31.0,31.0
1597,94.0,94.0
1598,64.0,64.0
1599,59.0,59.0
1600,69.0,69.0
